hamilton,2010,185,1582254.5204545453
lowndes,2010,185,1662544.3823250988
jefferson,2010,185,1712138.8767644926
adams,2010,185,1494000.2027272724
webster,2010,185,1523510.133155844
dean,2010,185,1523510.133155844
huntington-hill,2010,185,1523510.133155844
hamilton,2010,186,1577672.1518831167
lowndes,2010,186,1648079.825658432
jefferson,2010,186,1710789.09575
adams,2010,186,1488506.6293939394
webster,2010,186,1521115.3178225108
dean,2010,186,1517153.1444891773
huntington-hill,2010,186,1517153.1444891773
hamilton,2010,187,1574736.0758225108
lowndes,2010,187,1648447.6173250987
jefferson,2010,187,1695371.2157500002
adams,2010,187,1475769.7160606058
webster,2010,187,1514758.3291558442
dean,2010,187,1507171.599489177
huntington-hill,2010,187,1514758.3291558442
hamilton,2010,188,1570199.511893939
lowndes,2010,188,1638624.517133117
jefferson,2010,188,1664907.6657500002
adams,2010,188,1469412.7273939392
webster,2010,188,1513145.6037878785
dean,2010,188,1504776.7841558442
huntington-hill,2010,188,1513145.6037878785
hamilton,2010,189,1568727.0235144924
lowndes,2010,189,1635628.7297997836
jefferson,2010,189,1649796.4257500002
adams,2010,189,1459934.417393939
webster,2010,189,1503164.0587878784
dean,2010,189,1503164.0587878784
huntington-hill,2010,189,1503164.0587878784
hamilton,2010,190,1541088.1735144926
lowndes,2010,190,1608623.2197997835
jefferson,2010,190,1639814.8807500002
adams,2010,190,1456515.9973939392
webster,2010,190,1498581.6902164498
dean,2010,190,1498581.6902164498
huntington-hill,2010,190,1498581.6902164498
hamilton,2010,191,1531106.628514493
lowndes,2010,191,1641667.489615385
jefferson,2010,191,1637330.508698718
adams,2010,191,1444011.4940606058
webster,2010,191,1494045.1262878785
dean,2010,191,1494045.1262878785
huntington-hill,2010,191,1494045.1262878785
hamilton,2010,192,1528257.9451811593
lowndes,2010,192,1628930.5762820514
jefferson,2010,192,1636088.7101653845
adams,2010,192,1442237.4961558443
webster,2010,192,1491109.0502272726
dean,2010,192,1491109.0502272726
huntington-hill,2010,192,1491109.0502272726
hamilton,2010,193,1526162.4817644926
lowndes,2010,193,1646426.587280671
jefferson,2010,193,1606415.7401653845
adams,2010,193,1423707.5561558444
webster,2010,193,1489636.561847826
dean,2010,193,1481486.463560606
huntington-hill,2010,193,1481486.463560606
hamilton,2010,194,1511697.925097826
lowndes,2010,194,1634388.5890901948
jefferson,2010,194,1604566.801856561
adams,2010,194,1419125.1875844158
webster,2010,194,1480013.9751811593
dean,2010,194,1472008.1535606058
huntington-hill,2010,194,1480013.9751811593
hamilton,2010,195,1484692.4150978262
lowndes,2010,195,1624973.5005065564
jefferson,2010,195,1598705.5391898942
adams,2010,195,1400861.7775844156
webster,2010,195,1477165.291847826
dean,2010,195,1470535.6651811593
huntington-hill,2010,195,1470535.6651811593
hamilton,2010,196,1483342.6340833334
lowndes,2010,196,1616591.5071732232
jefferson,2010,196,1569546.3591898943
adams,2010,196,1396325.213655844
webster,2010,196,1467686.981847826
dean,2010,196,1467686.981847826
huntington-hill,2010,196,1467686.981847826
hamilton,2010,197,1473720.0474166668
lowndes,2010,197,1614819.0326284412
jefferson,2010,197,1555081.8025232276
adams,2010,197,1393930.3983225108
webster,2010,197,1465591.5184311592
dean,2010,197,1465591.5184311592
huntington-hill,2010,197,1465591.5184311592
hamilton,2010,198,1464241.7374166667
lowndes,2010,198,1608271.403628441
jefferson,2010,198,1552671.3781642532
adams,2010,198,1382016.7416558438
webster,2010,198,1459730.2557644928
dean,2010,198,1459730.2557644928
huntington-hill,2010,198,1459730.2557644928
hamilton,2010,199,1458380.47475
lowndes,2010,199,1607528.7623894385
jefferson,2010,199,1543048.7914975868
adams,2010,199,1380404.0162878789
webster,2010,199,1458380.47475
dean,2010,199,1446993.3424311592
huntington-hill,2010,199,1458380.47475
hamilton,2010,200,1455896.102698718
lowndes,2010,200,1590949.5713894386
jefferson,2010,200,1538928.6114975866
adams,2010,200,1371564.1412878789
webster,2010,200,1455896.102698718
dean,2010,200,1445643.5614166665
huntington-hill,2010,200,1445643.5614166665
hamilton,2010,201,1451775.9226987178
lowndes,2010,201,1577261.7475894385
jefferson,2010,201,1537782.3359283558
adams,2010,201,1368628.065227273
webster,2010,201,1451775.9226987178
dean,2010,201,1433139.0580833333
huntington-hill,2010,201,1443159.1893653846
hamilton,2010,202,1439039.0093653845
lowndes,2010,202,1565348.0909227717
jefferson,2010,202,1509251.1559283556
adams,2010,202,1362766.802560606
webster,2010,202,1439039.0093653845
dean,2010,202,1430654.6860320515
huntington-hill,2010,202,1439039.0093653845
hamilton,2010,203,1448685.1858565612
lowndes,2010,203,1510077.0972261906
jefferson,2010,203,1505687.0914839113
adams,2010,203,1359918.119227273
webster,2010,203,1437190.0710565608
dean,2010,203,1421814.8110320515
huntington-hill,2010,203,1426534.5060320515
hamilton,2010,204,1443978.6906184657
lowndes,2010,204,1499323.8938928572
jefferson,2010,204,1496208.7814839112
adams,2010,204,1358445.630847826
webster,2010,204,1435948.2725232276
dean,2010,204,1417694.6310320515
huntington-hill,2010,204,1417694.6310320515
hamilton,2010,205,1431241.7772851323
lowndes,2010,205,1487410.2372261905
jefferson,2010,205,1491502.2862458162
adams,2010,205,1351721.090847826
webster,2010,205,1431241.7772851323
dean,2010,205,1397102.8410320515
huntington-hill,2010,205,1412988.135793956
hamilton,2010,206,1438004.2018150466
lowndes,2010,206,1483353.421892857
jefferson,2010,206,1487973.847634705
adams,2010,206,1343339.097514493
webster,2010,206,1422401.9022851323
dean,2010,206,1392396.345793956
huntington-hill,2010,206,1411139.1974851326
